id,Link,Star,Forks,Commits
8182271,https://github.com/philipsorst/angular-rest-springsecurity,650,421,0
54110811,https://github.com/GDGAhmedabad/Learning-Resources,377,234,481
71328643,https://github.com/abixen/abixen-platform,375,141,1604
29606816,https://github.com/nielsutrecht/jwt-angular-spring,347,204,18
14391989,https://github.com/angelozerr/angularjs-eclipse,340,97,18
84427866,https://github.com/chaokunyang/microservices-event-sourcing,340,182,70
72315743,https://github.com/bfwg/springboot-jwt-starter,308,159,108
72173466,https://github.com/zpng/spring-cloud-microservice-examples,306,197,35
7266494,https://github.com/xvitcoder/spring-mvc-angularjs,287,242,18
20653858,https://github.com/hantsy/angularjs-springmvc-sample,286,202,134
4118405,https://github.com/johnlindquist/angularjs-plugin,286,39,33
40234428,https://github.com/hantsy/angularjs-springmvc-sample-boot,263,120,121
11403607,https://github.com/draptik/angulardemorestful,247,241,89
28057928,https://github.com/g00glen00b/ng-spring-boot,180,152,21
12665507,https://github.com/paul-hammant/ngWebDriver,169,52,21
73559008,https://github.com/spring-petclinic/spring-petclinic-microservices,169,158,574
17022651,https://github.com/michael-simons/biking2,139,62,258
17103618,https://github.com/avthart/spring-boot-axon-sample,122,72,28
41842465,https://github.com/yrojha4ever/JavaStud,121,63,111
29161545,https://github.com/davityle/ngAndroid,106,9,180
28114816,https://github.com/lipido/javafxwebview,89,27,8
47799570,https://github.com/ykameshrao/spring-mvc-angular-js-hibernate-bootstrap-java-single-page-jwt-auth-rest-api-webapp-framework,81,62,31
17562779,https://github.com/g00glen00b/spring-websockets,79,75,3
50351234,https://github.com/penglongli/PBlog,74,26,170
13045583,https://github.com/mgreau/javaee7-websocket,70,38,72
28811962,https://github.com/doanduyhai/killrchat,59,34,25
24818587,https://github.com/g00glen00b/spring-ng-chat,57,53,4
35797398,https://github.com/sharmaritesh/spring-angularjs-oauth2-sample,55,28,5
9204068,https://github.com/googlearchive/appengine-angular-guestbook-java,49,29,35
73403528,https://github.com/spring-petclinic/spring-petclinic-angularjs,44,51,642
59802263,https://github.com/ZevenFang/zevencourse,44,27,20
17517477,https://github.com/Java-Geeks/mase,42,39,89
25345877,https://github.com/bjornharvold/bearchoke,38,22,89
19995362,https://github.com/remibantos/jeeshop,38,43,294
48759330,https://github.com/samer-abdelkafi/ssng-project,37,45,16
12898256,https://github.com/kiranreddykasa/springrest-angularjs,37,24,57
17959249,https://github.com/netceteragroup/valdr-bean-validation,35,16,57
108743517,https://github.com/mechero/full-reactive-stack,34,16,35
85596103,https://github.com/lpsandaruwan/depli,34,12,102
42104059,https://github.com/Nandtel/gear-service,33,19,368
66197002,https://github.com/emailtohl/web-building,33,9,580
17091739,https://github.com/jhonnymertz/spring-angular-integration,32,20,18
38151741,https://github.com/josedab/angularjs-springboot-bookstore,31,20,20
80442456,https://github.com/klask-io/klask-io,31,8,257
64753910,https://github.com/ramazan/CrudApp,29,3,16
54050722,https://github.com/cternes/slackspace-angular-spring-keycloak,28,25,10
2514644,https://github.com/mdolk/angular-netbeans-plugin,27,11,13
27533072,https://github.com/networknt/light,27,12,793
80423765,https://github.com/dreyman/inpacker,27,7,274
21853064,https://github.com/nonblocking/liferay-angularjs-portlet,26,14,13
47506301,https://github.com/khartec/waltz,26,16,3927
29810043,https://github.com/evgenyigumnov/spring-boot-security-rest-thymleaf-angularjs-bootstrap-jasperreports-jpa-seed,25,33,18
21014598,https://github.com/chrishenkel/spring-angularjs-tutorial-1,23,31,1
72119275,https://github.com/OKaluzny/springboot-rest-api-angularjs-https,22,18,90
17668276,https://github.com/forge/angularjs-addon,21,14,90
51643985,https://github.com/vmudigal/microservices-sample,20,25,50
16054149,https://github.com/thoward333/addrbook,19,23,24
27313192,https://github.com/g00glen00b/ng-spring-data,18,41,3
9162550,https://github.com/dmitri-carpov/angularjs-sample-portlet,18,10,3
13695063,https://github.com/spyboost/atmosphere-chat-angular,18,7,14
12382077,https://github.com/rvillars/bookapp-cqrs,17,8,25
21268060,https://github.com/idursun/spring-and-angular,17,5,63
93316116,https://github.com/wu191287278/sc-generator,17,15,5
11949074,https://github.com/OlivierCroisier/restangular,15,20,30
