id,Link,Star,Forks,Commits
460078,https://github.com/angular/angular.js,58296,28893,0
21399598,https://github.com/angular/material,16113,3544,0
6094683,https://github.com/angular-ui/bootstrap,14631,7348,0
7693799,https://github.com/angular-ui/ui-router,13812,3345,2127
15308499,https://github.com/RubaXa/Sortable,13071,1976,2127
10536180,https://github.com/jmcunningham/AngularJS-Learning,10870,2233,734
55763295,https://github.com/akveo/blur-admin,8679,2395,500
9210604,https://github.com/mgonto/restangular,8191,975,500
21486287,https://github.com/sahat/satellizer,8108,1287,2124
5676886,https://github.com/angular-app/angular-app,6081,1971,453
64932918,https://github.com/coreui/coreui-free-bootstrap-admin-template,6080,1747,453
5718947,https://github.com/mgcrea/angular-strap,6040,1539,1624
22309429,https://github.com/toddmotto/angularjs-styleguide,6027,733,195
13911118,https://github.com/angular-fullstack/generator-angular-fullstack,6012,1298,195
6804324,https://github.com/yeoman/generator-angular,5933,1629,195
22172368,https://github.com/AllThingsSmitty/must-watch-javascript,5275,265,78
13362280,https://github.com/mgechev/angularjs-style-guide,5046,739,613
21127643,https://github.com/rdash/rdash-angular,4806,815,175
15508537,https://github.com/meanjs/mean,4542,1847,1588
9076111,https://github.com/angular-translate/angular-translate,4367,750,1588
1647876,https://github.com/pa7/heatmap.js,4275,899,266
8881628,https://github.com/taigaio/taiga-back,4107,761,266
19238853,https://github.com/Swiip/generator-gulp-angular,3891,776,1033
20059361,https://github.com/marmelab/ng-admin,3856,748,2352
28407613,https://github.com/ag-grid/ag-grid,3818,615,3772
12043484,https://github.com/nervgh/angular-file-upload,3437,1145,3772
12962729,https://github.com/angular-ui/ui-select,3205,1879,3772
21570384,https://github.com/a8m/angular-filter,2958,339,3772
7076763,https://github.com/sroze/ngInfiniteScroll,2945,803,3772
5567476,https://github.com/grevory/angular-local-storage,2882,630,3772
20395801,https://github.com/taigaio/taiga-front,2841,587,3772
9919720,https://github.com/Pasvaz/bindonce,2830,304,3772
9542455,https://github.com/esvit/ng-table,2819,937,3772
8962069,https://github.com/firebase/angularfire,2716,679,3772
10312052,https://github.com/urish/angular-moment,2645,424,3772
22031986,https://github.com/jtblin/angular-chart.js,2626,734,3772
15495333,https://github.com/ocombe/ocLazyLoad,2620,531,3772
5438867,https://github.com/angular-ui/angular-google-maps,2591,1110,3772
14037931,https://github.com/angular-ui-tree/angular-ui-tree,2507,784,3772
4864799,https://github.com/angular/batarang,2482,361,3772
11212142,https://github.com/gsklee/ngStorage,2387,506,3772
23401311,https://github.com/gianarb/awesome-angularjs,2368,436,192
23021810,https://github.com/Urigo/angular-meteor,2301,567,192
16396294,https://github.com/formly-js/angular-formly,2295,412,192
18065797,https://github.com/json-schema-form/angular-schema-form,2199,628,192
12560434,https://github.com/olov/ng-annotate,2092,132,192
